id,municipio,nombre,direccion,lunesViernes,horarioSabado,horarioDomingo ,picoyCedula,pcLunes,pcMartes,pcMiercoles,pcJueves,pcViernes,pcSabado,pcDomingo,domicilioDirecto,whatsappDomicilio,telefono
,BOGOTA,PERDOMO,Calle 75R BIS SUR No. 73B - 35,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,PASEO DEL RÍO,Calle 57D SUR #78H-14,8:00 AM A 8:00 PM,8:00 AM A 8:00 PM,8:00 AM A 7:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,NEIVA,AMARANTO,Calle 56B No. 17 - 71 Conj Residencial Amaranto, 7:00 AM A 8:00 PM,6:00 AM A 8:00 PM,7:00 AM A 8:00 PM,1,IMPAR,PAR,IMPAR,PAR,IMPAR,PAR,IMPAR,3183112002,3187121948,-
,NEIVA,IPANEMA,Calle 8 No. 41 - 80 L1, 7:00 AM A 8:00 PM,6:00 AM A 8:00 PM,7:00 AM A 8:00 PM,1,IMPAR,PAR,IMPAR,PAR,IMPAR,PAR,IMPAR,3163509833,-,-
,NEIVA,SAO NEIVA,Carrera 5 No. 19 - 23, 7:00 AM A 8:00 PM,6:00 AM A 8:00 PM,7:00 AM A 8:00 PM,1,IMPAR,PAR,IMPAR,PAR,IMPAR,PAR,IMPAR,3187119332,-,8630236
,ESPINAL,ESPINAL,Carrera 7A  No. 10 - 69,7:00 AM A 9:00 PM,6:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3187121764,-,-
,NEIVA,SANTA LOMA,Calle 20 No. 36A - 84, 7:00 AM A 8:00 PM,6:00 AM A 8:00 PM,7:00 AM A 8:00 PM,1,IMPAR,PAR,IMPAR,PAR,IMPAR,PAR,IMPAR,3187119921,-,-
,NEIVA,CANAIMA,Calle 21 No. 22 - 28 Sur, 7:00 AM A 8:00 PM,6:00 AM A 8:00 PM,7:00 AM A 8:00 PM,1,IMPAR,PAR,IMPAR,PAR,IMPAR,PAR,IMPAR,3165216056,-,-
,IBAGUE,SAO IBAGUE LA ESTACION,Av. Colombia Carrera 36 CC. Estación, 7:00 AM A 10:00 PM,7:00 AM A 10:00 PM,9:00 AM A 9:30 PM,1,0-1-2-3,4-5-6-7,8-9-0-1,2-3-4-5,6-7-8-9,0-1-2-3-4,5-6-7-8-9,3152533931,-,2770413
,PITALITO,POPULAR JARDIN,Avenida 3 No. 13 - 22, 7:00 AM A 8:00 PM,6:00 AM A 8:00 PM ,7:00 AM A 8:00 PM,1,IMPAR,PAR,IMPAR,PAR,IMPAR,PAR,IMPAR,3176434176,-,8362731
,PITALITO,POPULAR CENTRO,Carrera 2 No. 1 - 70,6:00 AM A 8:00 PM,6:00 AM A 8:00 PM, 7:00 AM A 8:00 PM,1,IMPAR,PAR,IMPAR,PAR,IMPAR,PAR,IMPAR,3176434181,-,-
,SAN AGUSTIN,SAN AGUSTIN,Calle 2 No. 14 - 01, 6:00 AM A 9:00 PM, 6:00 AM A 9:00 PM, 7:00 AM A 9:00 PM,1,IMPAR,PAR,IMPAR,PAR,IMPAR,PAR,IMPAR,3176368792,-,-
,CAMPOALEGRE,CAMPOALEGRE,Carrera 8 No. 17 - 31,6:00 AM A 9:00 PM ,6:00 AM A 9:00 PM ,6:00 AM A 9:00 PM ,1,IMPAR,PAR,IMPAR,PAR,IMPAR,PAR,IMPAR,3163108897,-,-
,GIRARDOT,SAO GIRARDOT,Calle 14 Cra 9 esq,7:00 AM A 7:45 PM,7:00 AM A 7:45 PM, 8:00 AM A 8:00 PM,1,1-2-3.,4-5-6.,7-8-9.,0-1-2.,3-4-5.,6-7-8.,N/A,3187118985,-,8886808
,GIRARDOT,GIRARDOT ESTADIO,Calle 19 No. 24 - 04, 7:00 AM A 8:00 PM,6:00 AM A 8:00 PM, 8:00 AM A 8:00 PM,1,1-2-3.,4-5-6.,7-8-9.,0-1-2.,3-4-5.,6-7-8.,N/A,3155074029,-,-
,CÚCUTA,SAO CENTRO,Avenida 6 No. 9 - 34 CC Plaza Andes,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 4:00 PM,1,IMPAR,PAR,IMPAR,PAR,IMPAR,PAR,IMPAR,-,3173007243,5730990
,CÚCUTA,GUAIMARAL,Avenida 11E No. 7N - 129,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,1,IMPAR,PAR,IMPAR,PAR,IMPAR,PAR,IMPAR,-,-,5943081
,CÚCUTA,LOS PINOS,Avenida 0 No. 1AN - 37,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,1,IMPAR,PAR,IMPAR,PAR,IMPAR,PAR,IMPAR,-,-,5943081
,CÚCUTA,PRADOS,Avenida 5B No. 5 - 06,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,1,IMPAR,PAR,IMPAR,PAR,IMPAR,PAR,IMPAR,-,-,5943081
,CÚCUTA,QUINTA ORIENTAL,Calle 7 No. 6E - 192,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,1,IMPAR,PAR,IMPAR,PAR,IMPAR,PAR,IMPAR,-,-,5943081
,CÚCUTA,SAO JARDIN PLAZA - CÚCUTA,CC Jardin Plaza Local A1,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,1,IMPAR,PAR,IMPAR,PAR,IMPAR,PAR,IMPAR,-,-,5943081
,BARRANQUILLA,SAO PORTAL DEL PRADO,Calle 53 No. 46-38,7:00 AM A 9:00 PM,6:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3172575931,3187122079,3581717
,PUERTO COLOMBIA,PUERTO COLOMBIA,Calle 2 No. 8 - 13,7:00 AM A 9:00 PM ,6:00 AM A 7:00 PM,7:00 AM A 7:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3043481302,3165227016,3581717
,BARRANQUILLA,SILENCIO,Carrera 26B No. 74C - 46,7:00 AM A 9:00 PM,6:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3188480849,3202368849,3581717
,PUERTO COLOMBIA,PRADOMAR,Calle 2 No. 17 53 L1-7,7:00 AM A 10:00 PM,6:00 AM A 7:00 PM,7:00 AM A 7:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,NO TIENE,-,3581717
,BARRANQUILLA,CAMPO ALEGRE,Carrera 38 No. 102B - 15,6:30 AM A 9:00 PM,6:00 AM A 9:00 PM,7:30 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,NO TIENE,-,3581717
,BARRANQUILLA,VIA 40,Via 40 Calle 84,7:00 AM A 9:00 PM,6:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3183413939,-,3581717
,BARRANQUILLA,MIRAMAR,Carrera 43 No. 99-50,6:00 AM A 10:00 PM,6:00 AM A 10:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187121948,-,3581717
,BARRANQUILLA,SAGRADO CORAZON,Carrera 42F No. 82 - 15,8:00 AM A 9:00 PM,24 HORAS,24 HORAS,,N/A,N/A,N/A,N/A,,N/A,N/A,3157270308,-,3581717
,BARRANQUILLA,PORVENIR CRA 49C,Calle 73 con Carrera 41D,6:30 AM A 9:00 PM,6:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3103391619,-,3581717
,PUERTO COLOMBIA,VILLA CAMPESTRE,Carrera 51B No. 138 esq,6:00 AM A 9:00 PM,6:00 AM A 7:00 PM,7:00 AM A 7:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,NO TIENE,3164726555,3581717
,BARRANQUILLA,TORRES DEL METRO,Calle 53 No. 52 - 68 L1,7:00 AM A 10:00 PM,6:00 AM A 10:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3157008268,-,3581717
,PUERTO COLOMBIA,VILLA CAMPESTRE CALLE 3,Calle 3 No. 25 - 203,6:30 AM A 10:00 PM,6:00 AM A 7:00 PM ,7:00 AM A 7:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3154277939,-,3581717
,BARRANQUILLA,CATALUNYA,Calle 84 No. 57 - 62 CC Catalunya,7:00 AM A 9:00 PM,6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3188113770,-,3581717
,BARRANQUILLA,TANGANAZO,Calle 72 con Carrera 60 esq,7:00 AM A 8:00 PM,6:00 AM A 8:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3182065114,-,3581717
,BARRANQUILLA,RECREO,Calle 61 No. 41 - 100,7:00 AM A 9:00 PM,6:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3173713226,-,3581717
,BARRANQUILLA,LA PLAYA,Carrera 13 No. 17 A - 31 CC Marbella,7:00 AM A 9:00 PM,6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3155970551,-,3581717
,BARRANQUILLA,NUEVA GRANADA,Carrera 32 No. 68 - 27,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,-,-,3581717
,BARRANQUILLA,PARQUE ELIAS CHEGWIN,Carrera 47 No. 72 - 31,7:00 AM A 9:00 PM,6:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187122167,-,3581717
,BARRANQUILLA,CIUDAD JARDIN Cl 73,Calle 73 Kra 41 D Esq.,6:30 AM A 9:00 PM,6:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187122171,-,3581717
,BARRANQUILLA,PRADO ALTO,Calle 76 Kra 49 C Esq.,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187122175,-,3581717
,BARRANQUILLA,CIUDAD JARDIN,Calle 78 No. 42 - 15,7:00 AM A 9:00 PM,6:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187232634,-,3581717
,BARRANQUILLA,GRANADILLO,Carrera 43 No. 80 - 123,7:00 AM A 9:00 PM,6:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3154317518,-,3581717
,BARRANQUILLA,PORVENIR Cr 46,Carrera 46 No 82-54,6:00 AM A 12:00 PM,6:00 AM A 12:00 AM,6:00 AM A 12:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187122178,3187122116,3581717
,BARRANQUILLA,PARAISO,Calle 84 Carrera 67 Esq.,6:00 AM A 10:00 PM,6:00 AM A 10:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,NO TIENE,3187121254,3581717
,BARRANQUILLA,CALLE 85,Carrera 51B No. 85 - 48,7:00 AM A 11:00 PM,6:00 AM A 11:00 PM,7:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3157236979,3168754465,3581717
,BARRANQUILLA,SAO 93,Calle 93  Carrera 46 Esq.,7:00 AM A 10:00 PM,6:00 AM A 12:00 AM,7:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187122079,-,3581717
,BARRANQUILLA,SAO VILLA CAROLINA,Calle 93 No. 71 - 49,7:00 AM A 9:00 PM,6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3165227016,-,3581717
,BARRANQUILLA,BUENA VISTA,Carrera 56 No. 96-165,6:00 AM A 10:00 PM,6:00 AM A 10:00 PM,7:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3173713271,-,3581717
,BARRANQUILLA,PLAZA DEL PARQUE,Carrera 56 No. 98 - 65,24 HORAS,24 HORAS,24 HORAS,,N/A,N/A,N/A,N/A,,N/A,N/A,3162818700,-,3581717
,BARRANQUILLA,Cl 76,Calle 76 No. 49 - 18,7:00 AM A 12:00 PM,6:00 AM A 12:00 AM,7:00 AM A 11:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187122090,-,3581717
,BARRANQUILLA,Cl 73 24 HORAS,Carrera 41 D No. 73 - 17,24 HORAS,24 HORAS,24 HORAS,,N/A,N/A,N/A,N/A,,N/A,N/A,318712202,-,3581717
,BARRANQUILLA,TORCOROMA,Calle 84 No. 51 B 22,24 HORAS,24 HORAS,24 HORAS,,N/A,N/A,N/A,N/A,,N/A,N/A,3187122185,3182404033,3581717
,BARRANQUILLA,GRAN CENTRO,Calle 70 No. 53-11,7:00 AM A 6:00 PM,6:00 AM A 2:00 PM,CERRADO,,N/A,N/A,N/A,N/A,,N/A,N/A,3187122102,3173654725,3581717
,BARRANQUILLA,FRENTE SAO 93,Calle 93 Carrera 46  Esq.,24 HORAS,24 HORAS,24 HORAS,,N/A,N/A,N/A,N/A,,N/A,N/A,3187122108,-,3581717
,BARRANQUILLA,GOURMET,Carrera 53 No. 82 - 77,6:00 AM A 12:00 PM,6:00 AM A 12:00 AM,6:00 AM A 11:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3164726555,-,3581717
,GALAPA,VILLA OLIMPICA,"Parque Industrial Los Volcanes, Villa Olimpica",7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3163215034,-,-
,SOLEDAD,AV. LAS TORRES,Calle 45 No. 42 - 19,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3174365497-3645398,-,3581717
,BARRANQUILLA,BOSQUE,Carrera 6 # 76 - 06,7:00 AM A 9:00 PM, 6:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,-,-,3581717
,MALAMBO,MALAMBO,Calle 12 cra 1B,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3166927820,-,-
,BARRANQUILLA,CAMPITO Cr 8,Carrera 8 con Calle 36,7:00 AM A 9:00 PM, 6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187122097,-,3581717
,BARRANQUILLA,7 DE ABRIL,Calle 51B No. 2ASur - 05,7:00 AM A 9:00 PM, 6:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3157545500,-,3581717
,BARRANQUILLA,LA PAZ,Calle 108 No. 12F - 18,7:00 AM A 9:00 PM, 6:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3156123314,-,3581717
,GALAPA,GALAPA,Carrera 18 Calle 10,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,7:00 AM A 7:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3184872581,-,-
,BARANOA,BARANOA,Carrera 17 No. 14 - 19,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,7:00 AM A 7:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3183727530,-,-
,SOLEDAD,SOLEDAD,Carrera 22 con Calle 18,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3183727573,-,3581717
,SANTO TOMAS,SANTO TOMAS,Calle 4 No. 6 - 02,7:00 AM A 7:30 PM, 6:00 AM A 6:30 PM,7:00 AM A 7:30 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187121840,-,-
,BARRANQUILLA,MERCADO 20 DE JULIO,Carrera 43 No. 32 - 56,6:30 AM A 7:00 PM, 6:00 AM A 7:00 PM,7:00 AM A 2:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187122155,-,3581717
,BARRANQUILLA,LOS ANDES,Carrera 21B No. Calle 64 Esq.,7:00 AM A 9:00 PM,6:00 AM A 10:00 PM ,7:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187122116,-,3581717
,SABANALARGA,SABANALARGA,Calle 22 No. 18 - 3,6:30 AM A 8:30 PM, 6:00 AM A 6:30 PM,7:00 AM A 7:30 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187121254,-,-
,SOLEDAD,LOS ROBLES,Calle 80 No. 23D - 77,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3168754465,-,3581717
,BARRANQUILLA,LAS NIEVES,Calle 24 con Carrera 11 esq,7:00 AM A 9:00 PM, 6:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3750041- 3187121966,-,3581717
,SOLEDAD,LOS MANGOS,Calle 25 No. 37B - 10,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3173691105,-,3581717
,SOLEDAD,SOLEDAD C.C.,Calle 26 No. 18 - 26 L-1,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3174045275,-,3581717
,BARRANQUILLA,LOS OLIVOS Cr 27,Carrera 27 Calle 101,7:00 AM A 9:00 PM, 6:00 AM A 9:00 PM,7:30 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3174375843,-,3581717
,SABANGRANDE,SABANAGRANDE,Calle 11 No. 7 - 42,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187080327,-,-
,BARRANQUILLA,MERCADO Cl 30,Carrera  43 No. 30 - 24,7:00 AM A 6:00 PM, 6:00 AM A 6:00 PM,7:30 AM A 2:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3792915,3187122064,3581717
,SOLEDAD,SAO HIPODROMO,Calle 30 Carrera 30 esq,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3182404033-3134603660,-,3581717
,SABANALARGA,SABANALARGA Cr 22,Calle 27 No. 22C - 04,7:00 AM A 8:30 PM, 6:00 AM A 6:30 PM,7:00 AM A 7:30 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3102130615 - 3173654725,-,-
,SOLEDAD,SOLEDAD 2000,Calle 54 No. 14 - 14,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3173314330,-,3581717
,PALMAR DE VARELA,PALMAR DE VARELA,Calle 11 No. 6 - 35,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3175173751,-,-
,MALAMBO,EL CONCORD,Carrera 27 No. 15A - 31,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3155456664,-,-
,BARRANQUILLA,LAS PALMAS,Calle 36 B # 13 C 45,7:00 AM A 9:00 PM, 6:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187122126,3187119795,3581717
,BARRANQUILLA,CHIQUINQUIRA,Carrera 30 No. 39 - 18,7:00 AM A 9:00 PM, 6:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3175171528,-,3581717
,BARRANQUILLA,UNIVERSAL Cr 4,Calle 41B Cra 4 Esquina,7:00 AM A 9:00 PM, 6:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3630601- 3175738158,-,3581717
,CALAMAR,CALAMAR CL 20,Calle 20 No. 2 - 56,7:00 AM A 9:00 PM, 6:00 AM A 8:30 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3182677211,-,-
,BARRANQUILLA,CIUDADELA,Calle 45 Carrera 2 - 09,6:30 AM A 9:00 PM,6:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187122152,-,3581717
,BARRANQUILLA,MURILLO Cr 20,Calle 45 Carrera 20,7:00 AM A 9:00 PM,6:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187122114,3176654683,3581717
,BARRANQUILLA,SAO MACARENA,Carrera 9 Calle 47 Esq.,7:00 AM A 9:00 PM, 6:00 AM A 9:00 PM,7:30 AM A 7:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,318712 20 76 - 3644484,-,3581717
,SOLEDAD,MANUELA BELTRAN SOLEDAD,Carrera 15A No. 30 - 150,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3155824191,-,3581717
,BARRANQUILLA,BUENA ESPERANZA,Calle 63 No. 15 - 25,7:00 AM A 9:00 PM, 6:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3154356875,-,3581717
,SOLEDAD,VILLA ADELA,Calle 47 No. 6D - 21,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3155120827,-,3581717
,SOLEDAD,TERMINAL,Carrera 14 Calle 63 Esq,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3187122159,-,3581717
,SOLEDAD,LA CENTRAL,Calle 65 No. 4 - 151,7:00 AM A 9:00 PM, 6:00 AM A 6:30 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3166254467,-,3581717
,BARRANQUILLA,MURILLO ESTADIO,Carrera 45 No. 16A Sur  - 40,7:00 AM A 9:00 PM, 6:00 AM A 9:00 PM,7:30 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,3155093891,-,3581717
,BARRANQUILLA,SIMON BOLIVAR,Calle 19 No 4 -132,7:00 AM A 9:00 PM,6:00 AM A 10:00 PM ,7:30 AM A 10:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,-,-,3581717
,BARRANQUILLA,CORDIALIDAD Cr 16,Calle 47 No. 14 - 189,7:00 AM A 9:00 PM,6:00 AM A 10:00 PM ,7:00 AM A 10:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,-,-,3581717
,CARTAGENA,BADILLO,Calle 1 No. 35 - 36 Badillo,6:00 AM A 8:00 PM,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,3187119767,6930153
,CARTAGENA,MATUNA,Carrera 9a No. 32 - 58 Matuna,6:00 AM A 8:00 PM,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,BOCAGRANDE,Carrera 2 No. 12 - 37 Esq. B/gde,6:00 AM A 10:00 PM,7:00 AM A 10:00 PM,7:00 AM A 10:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,LOS EJECUTIVOS,C.C. Los Ejecutivos,6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,SAO LA PLAZUELA,Diagonal 31 No.  71 - 130 La Plazuela,6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,3187122064,-,6930153
,CARTAGENA,TORICES,"Paseo Bolivar, Carrera 17 con 38A",6:00 AM A 8:30 PM,7:00 AM A 8:30 PM,7:00 AM A 8:30 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,PIE DE LA POPA,Calle 32 No. 20 - 128 OMNI,6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,CRISANTO LUQUE,Diag 22 No. 50 - 20 Av Crisanto,6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,BUENOS AIRES,Trans 54 No. 41 - 241,6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,BLAS DE LEZO,Cra 3 Este No. 20A - 19 Sur,6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,SAO SAN FELIPE,Calle 29B No. 17 - 109,6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,3187119795,-,6930153
