id,municipio,nombre,direccion,lunesViernes,horarioSabado,horarioDomingo ,picoyCedula,pcLunes,pcMartes,pcMiercoles,pcJueves,pcViernes,pcSabado,pcDomingo,domicilioDirecto,whatsappDomicilio,telefono
,CALI,PORVENIR,Carrera 5 No. 31A - 31,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,-,3232105515,4850525
,CALI,LA QUINTA,Carrera 5A No. 59 - 141,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,-,-,4850525
,CALI,LA 26,Calle 44 No. 26 - 05,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,-,3232105517,4850525
,CALI,CAÑAVERAL,Carrera 46 No.48 - 40,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,3187120982,3232105520,4850525
,CALI,VILLACOLOMBIA,Calle 51 No. 14 - 12,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,3187120973,3187119303,4850525
,JAMUNDÍ,JAMUNDÍ,Carrera 10 No. 13 - 60 CC Caña Dulce,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,2-4-6-8-0,N/A,N/A,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,3163805869,3175021894,5923536
,CALI,CANEY,Calle 42 No. 80 - 01,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,-,3232105513,4850525
,CALI,GUAYAQUIL,Calle 15 No. 18A  - 34,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,-,-,4850525
,CALI,ACACIAS,Calle 23 No. 23 - 24,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,-,-,4850525
,CALI,PASO ANCHO,Calle 13 No. 75A - 85,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,-,-,4850525
,CALI,LAS GRANJAS,Calle 16 No. 43 - 45,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,-,-,4850525
,CALI,LOS LAGOS,Calle 72U No. 26I - 03,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,3187119298,-,4850525
,CALI,EL POBLADO,Carrera 28D No. 72T - 72,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,3182393060,Si,4850525
,CALI,LAS GRANJAS 2,Calle 16 No. 49 - 08,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,-,No,4850525
,CALI,PRIMAVERA,Carrera 32 No. 34 - 08 Sur,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,-,Si,4850525
,POPAYAN,PALMERA PLAZA,Carrera 17 No. 61N - 16 CC Palmera Plaza,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,-,Si,-
,PUERTO TEJADA,PUERTO TEJADA Cl 22,Calle 22 con Carrera 21,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,No,-
,BUENAVENTURA,SAO BUENAVENTURA 2 Cr 46,Carrera 46 con Calle 1,7:00 AM A 7:00 PM,7:00 AM A 7:00 PM,7:00 AM A 7:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,No,-
,BUGA,BUGA,Calle 7 No. 11 - 93,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,2-4-6-8-0,N/A,N/A,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,3187119234,Si,2369495
,TULUA,TULUA,Carrera  20 No.  27 - 00,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,2-4-6-8-0,N/A,N/A,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,-,No,-
,BUENAVENTURA,BUENAVENTURA,Calle 2A No. 1A - 08,7:00 AM A 7:00 PM,7:00 AM A 7:00 PM,7:00 AM A 7:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,No,NO
,RESTREPO,RESTREPO,Carrera 10 No. 9 - 47,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,2-4-6-8-0,N/A,N/A,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,NO,No,NO
,TULUA,LA CAMPIÑA,Carrera 22 No. 14A -15,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,2-4-6-8-0,N/A,N/A,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,-,Si,2306463
,POPAYAN,POPAYAN NORTE,Carrera 9 # 24N - 80,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,3203223148,No,8373200 - 8202071 EXT 200
,POPAYAN,SAO POPAYAN CENTRAL,Calle 2N No. 7 - 74,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,3228177367-3228177366,No,8202068 - 8236777 - 8236776
,SANTANDER DE QUILICHAO,SANTANDER DE QUILICHAO,Carrera 10 No. 2 - 41,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,3187119281,3163748465,8293383 EXT 200
,POPAYAN,SAN FRANCISCO,Calle 4 No. 8 - 89,8:00 AM A 8:00 PM,8:00 AM A 8:00 PM,CERRADO,1,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,-,3164301430,8373200
,TULUA,TULUA CANASTA,Calle 25 No. 17 - 05,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,2-4-6-8-0,N/A,N/A,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,3166401038 - 3173364123,3187119853,2318787 EXT. 100
,CANDELARIA,CANDELARIA VALLE,Carrera 8 No. 9 - 13,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,1-3-5-7-9,N/A,N/A,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,SI,3187119855,-
,GUACARÍ,GUACARI,Carrera 8 No. 4 - 46,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,2-4-6-8-0,N/A,N/A,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,3187119303,3187119851,-
,POPAYAN,POPAYAN Cr 9,Carrera 9 No. 17 - 11,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,1-3-5-7-9,SI,3187119848,8373200
,EL CERRITO,EL CERRITO,Calle 9 No. 11 - 60,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,2-4-6-8-0,N/A,N/A,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,-,3187119811,-
,BUENAVENTURA,LAS AMERICAS,Carrera 66 No. 8 - 55,7:00 AM A 7:00 PM,7:00 AM A 7:00 PM,7:00 AM A 7:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-
